Date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-01-29,100.2235595076238,100.45231774880112,100.03140342277256,100.23271179199219,27060700,0.0,0.0,0.0
2024-01-30,100.48888836047527,100.57124493164311,100.04966960358588,100.55294036865234,30459200,0.0,0.0,0.0
2024-01-31,100.98303207010082,101.23924016681111,100.5346679008578,100.80917358398438,44733000,0.0,0.0,0.0
2024-02-01,101.47862520795793,101.8459368009596,101.10212889851259,101.58881378173828,42478500,0.389,0.0,0.0
2024-02-02,100.52357325598778,100.74395731162763,100.29400448798046,100.66131591796875,39604900,0.0,0.0,0.0
2024-02-05,99.95427480173856,99.96345951728657,99.46758996597332,99.69715881347656,39266800,0.0,0.0,0.0
2024-02-06,99.86241985833979,100.42256824514229,99.83487272552708,100.25727844238281,26095200,0.0,0.0,0.0
2024-02-07,100.01851894493576,100.37664566177212,99.87159857679195,99.96342468261719,23574200,0.0,0.0,0.0
2024-02-08,99.66958756987127,99.70631941729525,99.34819266226589,99.44920349121094,26063900,0.0,0.0,0.0
2024-02-09,99.19210607953987,99.39412778940644,99.17374365404534,99.32067108154297,19029200,0.0,0.0,0.0
2024-02-12,99.37575055009462,99.42166010992995,99.0451708933894,99.329833984375,30378900,0.0,0.0,0.0
2024-02-13,98.43909809299849,98.61357262191596,98.13607260314677,98.2370834350586,41494100,0.0,0.0,0.0
2024-02-14,98.3472637399377,98.73293760809874,98.32890132016568,98.69621276855469,41932200,0.0,0.0,0.0
2024-02-15,99.24717347617688,99.26553589540089,98.82476777519527,99.05433654785156,33255200,0.0,0.0,0.0
2024-02-16,98.58601723227304,98.79721658612559,98.47582169599139,98.69621276855469,26189800,0.0,0.0,0.0
2024-02-20,99.02678680419922,99.12779762912066,98.82477216023959,99.02678680419922,22386600,0.0,0.0,0.0
2024-02-21,99.10027222356881,99.10027222356881,98.64113455721883,98.77887725830078,23606200,0.0,0.0,0.0
2024-02-22,98.92579696203572,99.10944921190413,98.80641669432542,98.93497467041016,28705900,0.0,0.0,0.0
2024-02-23,98.98087434638671,99.37573292152362,98.92578008200395,99.22880554199219,29856300,0.0,0.0,0.0
2024-02-26,99.25635276416347,99.25635276416347,98.69621139537048,98.91659545898438,26696200,0.0,0.0,0.0
2024-02-27,98.85234096632914,99.02680851554047,98.72378298022193,98.77887725830078,33453800,0.0,0.0,0.0
2024-02-28,98.65948004967859,98.83394755655932,98.62274820457657,98.76966857910156,32713500,0.0,0.0,0.0
2024-02-29,98.91660550049434,99.31146411607325,98.7329462572694,98.86151123046875,45656400,0.0,0.0,0.0
2024-03-01,98.65229290142513,99.56471403738394,98.38501660269955,99.46333312988281,42971500,0.393,0.0,0.0
2024-03-04,99.19606337054597,99.41726192779508,99.12233754968143,99.27901458740234,31472000,0.0,0.0,0.0
2024-03-05,99.804362353402,100.09006840571513,99.66611499431241,99.82279205322266,33394200,0.0,0.0,0.0
2024-03-06,100.04397198691565,100.42184053098296,100.01631689501188,100.09004974365234,33176900,0.0,0.0,0.0
2024-03-07,100.44949758578454,100.48636401340586,100.09005870591673,100.33890533447266,22875700,0.0,0.0,0.0
2024-03-08,100.54166445659864,100.73521496781021,100.38498740614392,100.4771499633789,29591100,0.0,0.0,0.0
2024-03-11,100.49556732177734,100.72597718622615,100.3388903015244,100.49556732177734,25360200,0.0,0.0,0.0
2024-03-12,100.33890719137518,100.42185138139409,100.08084219325008,100.17301177978516,30852100,0.0,0.0,0.0
2024-03-13,100.20063845281233,100.40340024942141,100.03474307663679,100.07160949707031,31089900,0.0,0.0,0.0
2024-03-14,99.76747650234233,99.76747650234233,99.26057196153435,99.33430480957031,48815400,0.0,0.0,0.0
2024-03-15,99.38040572491724,99.50021634875496,99.19607357491394,99.36196899414062,34525600,0.0,0.0,0.0
2024-03-18,99.41726637720743,99.463344138366,99.1776381119056,99.1960678100586,18279900,0.0,0.0,0.0
2024-03-19,99.36195573706088,99.70296489540442,99.30665961521389,99.48177337646484,22721000,0.0,0.0,0.0
2024-03-20,99.5186561141823,99.84122859708368,99.10391403769245,99.6661148071289,41915400,0.0,0.0,0.0
2024-03-21,99.97022987161965,100.04396271342551,99.65686880972015,99.81355285644531,26546700,0.0,0.0,0.0
2024-03-22,100.35733336597731,100.38498142834617,100.1084937731057,100.15457153320312,20877600,0.0,0.0,0.0
2024-03-25,100.14534361302087,100.14534361302087,99.7582497093155,99.81355285644531,23291000,0.0,0.0,0.0
2024-03-26,99.98866574237894,99.98866574237894,99.65687496530937,99.78590393066406,27266700,0.0,0.0,0.0
2024-03-27,99.92416758841662,100.4771499633789,99.85965309519689,100.4771499633789,30600500,0.0,0.0,0.0
2024-03-28,100.35733118627853,100.63382586706567,100.27438700097348,100.38497924804688,23066200,0.0,0.0,0.0
2024-04-01,99.93258458451587,99.94183786498189,99.34050168201944,99.42376708984375,20817100,0.411,0.0,0.0
2024-04-02,98.92418696155069,99.32199328775785,98.69290437789964,99.2757339477539,32433900,0.0,0.0,0.0
2024-04-03,98.91493314391397,99.50701599018555,98.7576626818509,99.34049224853516,25198700,0.0,0.0,0.0
2024-04-04,99.7105505731455,99.7105505731455,99.25723866621021,99.4515151977539,31423800,0.0,0.0,0.0
2024-04-05,99.06296008564254,99.340494957171,98.97044846179973,99.0167007446289,25134900,0.0,0.0,0.0
2024-04-08,98.92419556902675,99.19248423638808,98.8594367222971,99.00745391845703,37054400,0.0,0.0,0.0
2024-04-09,99.40528579685599,99.57180959664855,99.34978021632072,99.51630401611328,21967300,0.0,0.0,0.0
2024-04-10,98.74841086575495,98.74841086575495,97.95279820587666,98.10082244873047,45351600,0.0,0.0,0.0
2024-04-11,98.35061264952922,98.4338780575498,97.7030241790801,97.89730072021484,38047900,0.0,0.0,0.0
2024-04-12,98.33209152700667,98.36909758263673,98.08230241604963,98.11930847167969,35119700,0.0,0.0,0.0
2024-04-15,97.59201843926665,97.59201843926665,96.90742381770569,97.03694152832031,27018500,0.0,0.0,0.0
